striker_id,ate,ate_se,balls_faced,mean_propensity,empirical_share
Batter_002,0.072372219889361,0.303168035818129,138,0.0581556786403382,0.0593038246669532
Batter_003,0.119588132922246,0.312467391634658,99,0.0470550515319341,0.0425440481306403
Batter_004,-0.336778904687781,0.231717974893545,85,0.0417705608226059,0.0365277180919639
Batter_005,0.153267605249119,0.29697174472115,41,0.0136283891861854,0.0176192522561238
Batter_006,-0.433716210750645,0.265188252846564,50,0.0167285726106908,0.0214868929952729
Batter_007,-0.0259983547945576,0.19483339236289,150,0.0656701063400543,0.0644606789858187
Batter_009,0.066736514769345,0.235778998336247,124,0.0532208169907141,0.0532874946282768
Batter_010,-0.543443681776498,0.259260893374269,110,0.0478784401325901,0.0472711645896004
Batter_011,-0.184746625740463,0.277827608543015,101,0.0420033397339903,0.0434035238504512
Batter_012,-0.146661056365814,0.275145798852176,96,0.0332259712753162,0.0412548345509239
Batter_013,-0.356161232315762,0.382852408655017,71,0.0243539556746623,0.0305113880532875
Batter_015,0.111345286680971,0.222910286722237,41,0.0170769003655839,0.0176192522561238
Batter_016,-0.188790651261191,0.143104473908829,119,0.0500971885529925,0.0511388053287495
Batter_017,-0.619795151838817,0.245912800070848,64,0.031576801122917,0.0275032230339493
Batter_020,-0.736337595587584,0.29572293206357,64,0.0282019964812418,0.0275032230339493
Batter_023,-0.0261536871244547,0.302932784113098,52,0.0252878993873539,0.0223463687150838
Batter_025,-0.0309221086102231,0.313134133062212,74,0.0326595115613949,0.0318006016330039
Batter_027,-0.645247185521123,0.274849277380911,51,0.0240816418179633,0.0219166308551783
Batter_028,-0.453697013283711,0.301435953694032,73,0.0364563433905617,0.0313708637730984
Batter_030,-0.334404007892926,0.362729988131524,61,0.0274835705559552,0.0262140094542329
Batter_033,0.215897573980462,0.214164605302345,92,0.0377463039667303,0.0395358831113021
Batter_034,0.0041001019033074,0.2776724639897,41,0.0185920733863062,0.0176192522561238
Batter_038,-0.256707100934494,0.296621273335117,48,0.0227704965758232,0.020627417275462
Batter_040,-0.461784556946524,0.222404517410896,55,0.0259809051830022,0.0236355822948002
Batter_046,-0.136409575317262,0.303170122206686,116,0.045936806101419,0.0498495917490331
Batter_047,-0.330460382634895,0.278484481363964,57,0.0255570099408169,0.0244950580146111
Batter_048,0.115626780952564,0.248534812613479,78,0.0329491274494163,0.0335195530726257
