striker_id,mean_propensity_when_facing,mean_propensity,median_propensity,balls_faced,empirical_share,is_reference
Batter_035,0.479681932152166,0.0738545412214402,0.000549072427275151,176,0.0756338633433605,TRUE
Batter_007,0.406065473653462,0.0656701063400543,0.00362396325617577,150,0.0644606789858187,FALSE
Batter_002,0.429542340956234,0.0581556786403382,0.000879454755814213,138,0.0593038246669532,FALSE
Batter_009,0.495627188787292,0.0532208169907141,0.00533121709183685,124,0.0532874946282768,FALSE
Batter_016,0.422788280130327,0.0500971885529925,0.000946849886217977,119,0.0511388053287495,FALSE
Batter_010,0.339018343330555,0.0478784401325901,0.00174295875847344,110,0.0472711645896004,FALSE
Batter_003,0.656414613906285,0.0470550515319341,0.000319023970569611,99,0.0425440481306403,FALSE
Batter_046,0.744406883948514,0.045936806101419,2.00587674975784e-06,116,0.0498495917490331,FALSE
Batter_011,0.549551549333014,0.0420033397339903,3.46446494336714e-05,101,0.0434035238504512,FALSE
Batter_004,0.364834809454056,0.0417705608226059,0.00729138858743366,85,0.0365277180919639,FALSE
Batter_033,0.464300912215226,0.0377463039667303,0.00157986135501862,92,0.0395358831113021,FALSE
Batter_028,0.296583360265624,0.0364563433905617,0.00131057319867992,73,0.0313708637730984,FALSE
Batter_012,0.546142635249925,0.0332259712753162,6.45036018628452e-05,96,0.0412548345509239,FALSE
Batter_048,0.31153396131416,0.0329491274494163,0.00120235927938761,78,0.0335195530726257,FALSE
Batter_025,0.472706627577919,0.0326595115613949,0.000676560363406228,74,0.0318006016330039,FALSE
Batter_017,0.257897835944845,0.031576801122917,0.00319558881619262,64,0.0275032230339493,FALSE
Batter_020,0.726694612963202,0.0282019964812418,0.000302139955935564,64,0.0275032230339493,FALSE
Batter_030,0.294389108725666,0.0274835705559552,0.00245935148795959,61,0.0262140094542329,FALSE
Batter_040,0.299078001311032,0.0259809051830022,0.00237263636491413,55,0.0236355822948002,FALSE
Batter_047,0.208417339670991,0.0255570099408169,0.000823764276350398,57,0.0244950580146111,FALSE
Batter_023,0.217116312238234,0.0252878993873539,0.0045249841639319,52,0.0223463687150838,FALSE
Batter_013,0.747627082089405,0.0243539556746623,6.76875397293194e-13,71,0.0305113880532875,FALSE
Batter_027,0.547271858009089,0.0240816418179633,0.000266421345046563,51,0.0219166308551783,FALSE
Batter_038,0.16625054235109,0.0227704965758232,0.00427085302037674,48,0.020627417275462,FALSE
Batter_034,0.287713287932384,0.0185920733863062,0.000454146102576994,41,0.0176192522561238,FALSE
Batter_015,0.150633567845401,0.0170769003655839,0.000867306140727004,41,0.0176192522561238,FALSE
Batter_006,0.768499502585987,0.0167285726106908,2.17629950326861e-09,50,0.0214868929952729,FALSE
Batter_005,0.56247868893704,0.0136283891861854,4.60730874524684e-06,41,0.0176192522561238,FALSE
