match_id,innings,over,striker_id,propensity,phase,striker_batting_position
M0001,2,3,Batter_007,0.302460516101269,powerplay,1
M0001,2,3,Batter_007,0.302460516101269,powerplay,1
M0001,2,3,Batter_007,0.302460516101269,powerplay,1
M0001,2,3,Batter_040,0.446556126574401,powerplay,2
M0001,2,4,Batter_007,0.502838675788254,powerplay,1
M0001,2,4,Batter_007,0.384857713307646,powerplay,1
M0001,2,4,Batter_040,0.229487499181617,powerplay,2
M0001,2,4,Batter_040,0.229487499181617,powerplay,2
M0001,2,4,Batter_007,0.502838675788254,powerplay,1
M0001,2,4,Batter_040,0.406789305567761,powerplay,2
M0001,2,5,Batter_007,0.525290399529445,powerplay,1
M0001,2,5,Batter_007,0.390460758667012,powerplay,1
M0001,2,5,Batter_040,0.19486987495456,powerplay,2
M0001,2,5,Batter_040,0.19486987495456,powerplay,2
M0001,2,5,Batter_040,0.19486987495456,powerplay,2
M0001,2,5,Batter_040,0.389249815957957,powerplay,2
M0001,2,6,Batter_040,0.154796371594736,middle,2
M0001,2,6,Batter_040,0.154796371594736,middle,2
M0001,2,6,Batter_007,0.541273920347049,middle,1
M0001,2,6,Batter_007,0.302041587864636,middle,1
M0001,2,6,Batter_007,0.302041587864636,middle,1
M0001,2,6,Batter_007,0.541273920347049,middle,1
M0001,2,7,Batter_040,0.161701004764713,middle,2
M0001,2,7,Batter_040,0.161701004764713,middle,2
M0001,2,7,Batter_009,0.0395614672700605,middle,3
M0001,2,7,Batter_007,0.0830897003141813,middle,1
M0001,2,7,Batter_009,0.151539919784471,middle,3
M0001,2,7,Batter_009,0.0395614672700605,middle,3
M0001,2,8,Batter_007,0.398986626003972,middle,1
M0001,2,8,Batter_007,0.398986626003972,middle,1
M0001,2,8,Batter_007,0.313042753167369,middle,1
M0001,2,8,Batter_009,0.0128452429609743,middle,3
M0001,2,8,Batter_007,0.398986626003972,middle,1
M0001,2,8,Batter_007,0.313042753167369,middle,1
M0001,2,9,Batter_009,0.0583668057126169,middle,3
M0001,2,9,Batter_007,0.305687758392782,middle,1
M0001,2,9,Batter_007,0.305687758392782,middle,1
M0001,2,9,Batter_009,0.0132248148141248,middle,3
M0001,2,9,Batter_007,0.305687758392782,middle,1
M0002,1,0,Batter_010,0.000561488876504625,powerplay,3
M0002,1,0,Batter_010,0.000561488876504625,powerplay,3
M0002,1,0,Batter_016,0.40865542675032,powerplay,4
M0002,1,0,Batter_035,0.47664219843636,powerplay,2
M0002,1,1,Batter_016,0.417914428672549,powerplay,4
M0002,1,1,Batter_035,0.270094526274115,powerplay,2
M0002,1,1,Batter_016,0.586930788148652,powerplay,4
M0002,1,1,Batter_035,0.4912720222979,powerplay,2
M0002,1,1,Batter_016,0.417914428672549,powerplay,4
M0002,1,1,Batter_035,0.270094526274115,powerplay,2
M0002,1,2,Batter_016,0.59986577410917,powerplay,4
M0002,1,2,Batter_016,0.624967130854471,powerplay,4
M0002,1,2,Batter_016,0.59986577410917,powerplay,4
M0002,1,2,Batter_016,0.59986577410917,powerplay,4
M0002,1,2,Batter_016,0.624967130854471,powerplay,4
M0002,1,2,Batter_016,0.59986577410917,powerplay,4
M0002,1,3,Batter_035,0.298912314341651,powerplay,2
M0002,1,3,Batter_016,0.575992730260261,powerplay,4
M0002,1,3,Batter_016,0.430778157576382,powerplay,4
M0002,1,3,Batter_016,0.575992730260261,powerplay,4
M0002,1,3,Batter_035,0.298912314341651,powerplay,2
M0002,1,3,Batter_016,0.430778157576382,powerplay,4
M0002,1,4,Batter_035,2.0169096340451e-05,powerplay,2
M0002,1,4,Batter_035,2.0169096340451e-05,powerplay,2
M0002,2,0,Batter_046,0.489466840679833,powerplay,2
M0002,2,0,Batter_046,0.489466840679833,powerplay,2
M0002,2,0,Batter_046,0.489466840679833,powerplay,2
M0002,2,0,Batter_046,0.638094213886253,powerplay,2
M0002,2,1,Batter_046,0.801840635570421,powerplay,2
M0002,2,1,Batter_046,0.784441676791835,powerplay,2
M0002,2,1,Batter_027,0.199753494319,powerplay,3
M0002,2,1,Batter_027,0.425031983957367,powerplay,3
M0002,2,2,Batter_046,0.82086039221007,powerplay,2
M0002,2,2,Batter_027,0.111732559251417,powerplay,3
M0002,2,2,Batter_046,0.701676327528102,powerplay,2
M0002,2,2,Batter_046,0.82086039221007,powerplay,2
M0002,2,2,Batter_046,0.701676327528102,powerplay,2
M0002,2,2,Batter_046,0.82086039221007,powerplay,2
M0002,2,3,Batter_046,0.57238564656185,powerplay,2
M0002,2,3,Batter_046,0.644522833237526,powerplay,2
M0002,2,3,Batter_046,0.57238564656185,powerplay,2
M0002,2,3,Batter_046,0.57238564656185,powerplay,2
M0002,2,3,Batter_027,0.537423713132684,powerplay,3
