striker_id,balls_faced,rae_mean,rae_se,rae_vs_ref,reference_batter,ci_lo,ci_hi
Batter_001,56,0.317280749352859,0.267843613476625,0.0574914369255972,Batter_035,-0.467482045488587,0.582464919339782
Batter_034,94,0.297685756747755,0.191436511710494,0.0378964443204934,Batter_035,-0.337319118632075,0.413112007273062
Batter_005,53,0.26717220805757,0.236693538732227,0.00738289563030858,Batter_035,-0.456536440284856,0.471302231545473
Batter_007,180,0.266626703026005,0.141621499452172,0.00683739059874339,Batter_035,-0.270740748327513,0.284415529525
Batter_015,41,0.196208570427862,0.276387385499337,-0.0635807419993996,Batter_035,-0.605300017578099,0.4781385335793
Batter_048,78,0.183776079734879,0.21256061493433,-0.0760132326923826,Batter_035,-0.49263203796367,0.340605572578905
Batter_009,144,0.164723381101912,0.142464883864513,-0.0950659313253493,Batter_035,-0.374297103699794,0.184165241049095
Batter_011,131,0.140191074756406,0.145757944727625,-0.119598237670855,Batter_035,-0.405283809337,0.166087333995289
Batter_033,92,0.121010309312909,0.176401338479656,-0.138779003114352,Batter_035,-0.484525626534479,0.206967620305774
Batter_038,59,0.108684076724229,0.223664636490435,-0.151105235703033,Batter_035,-0.589487923224285,0.287277451818219
Batter_012,96,0.0916138560992681,0.168997785424898,-0.168175456327993,Batter_035,-0.499411115760794,0.163060203104807
Batter_003,103,0.0880049208833078,0.190195075971432,-0.171784391543954,Batter_035,-0.54456674044796,0.200997957360053
Batter_023,62,0.0663313272654902,0.244282755488057,-0.193457985161771,Batter_035,-0.672252185918362,0.28533621559482
Batter_002,138,0.0172126561737321,0.143272071925029,-0.242576656253529,Batter_035,-0.523389917226586,0.0382366047195271
Batter_004,86,-0.0227047786435761,0.172814205144664,-0.282494091070838,Batter_035,-0.621209933154379,0.0562217510127038
Batter_016,138,-0.0344513326181706,0.145112436994286,-0.294240645045432,Batter_035,-0.578661021554233,-0.0098202685366312
Batter_013,107,-0.0408046565168151,0.176012991809385,-0.300593968944076,Batter_035,-0.645579432890471,0.0443914950023184
Batter_025,80,-0.0465420784519514,0.182939060108659,-0.306331390879213,Batter_035,-0.664891948692185,0.0522291669337593
Batter_028,83,-0.141287710597585,0.180653628644233,-0.401077023024846,Batter_035,-0.755158135167544,-0.0469959108821487
Batter_046,116,-0.14820229054815,0.145376428263366,-0.407991602975412,Batter_035,-0.692929402371609,-0.123053803579215
Batter_020,113,-0.187504000001257,0.128948971419699,-0.447293312428518,Batter_035,-0.700033296411129,-0.194553328445907
Batter_040,63,-0.227803059216455,0.196632191970313,-0.487592371643716,Batter_035,-0.87299146790553,-0.102193275381903
Batter_022,76,-0.277487414106217,0.157437699215001,-0.537276726533479,Batter_035,-0.84585461699488,-0.228698836072077
Batter_017,71,-0.301119394461121,0.144697026780518,-0.560908706888383,Batter_035,-0.844514879378198,-0.277302534398567
Batter_010,118,-0.305000892309296,0.139023226006399,-0.564790204736558,Batter_035,-0.837275727709099,-0.292304681764016
Batter_030,61,-0.326915483632342,0.208010620905154,-0.586704796059603,Batter_035,-0.994405613033704,-0.179003979085502
Batter_024,63,-0.340383802502519,0.174293207380561,-0.60017311492978,Batter_035,-0.941787801395679,-0.258558428463881
Batter_027,51,-0.378441064521616,0.212830434035203,-0.638230376948877,Batter_035,-1.05537802765787,-0.22108272623988
Batter_047,57,-0.398182685216438,0.165038804145069,-0.657971997643699,Batter_035,-0.981448053768035,-0.334495941519364
Batter_006,50,-0.427097621652713,0.18274508012859,-0.686886934079974,Batter_035,-1.04506729113201,-0.328706577027938
