striker_id,balls_faced,dml_effect,dml_ci_lo,dml_ci_hi,reference_batter,elo,elo_vs_ref,elo_balls,elo_vs_ref_z,dml_z
Batter_001,93,0.302014763646428,-0.271981320595053,0.876010847887909,Batter_035,1529.62725291193,19.0947889857212,93,1.60526680863884,1.96230875416559
Batter_009,175,0.275895357595408,-0.159758559575663,0.71154927476648,Batter_035,1539.18427744876,28.651813522546,175,2.30122696789094,1.85917717751034
Batter_007,209,0.184807429398663,-0.212902732343766,0.582517591141092,Batter_035,1531.15040440938,20.6179404831648,209,1.71618551086058,1.49951962515861
Batter_005,85,0.15770949412452,-0.291673472309455,0.607092460558495,Batter_035,1525.06051038517,14.5280464589555,85,1.27270819230959,1.39252435951339
Batter_004,145,0.143557511374278,-0.444498750416459,0.731613773165015,Batter_035,1528.30034442581,17.7678804996035,145,1.5086388845655,1.33664574225159
Batter_033,96,0.123150018736123,-0.223825170327437,0.470125207799684,Batter_035,1522.10751827227,11.5750543460581,96,1.05766585844894,1.25606745929821
Batter_008,63,0.118865587434021,-0.44405586587559,0.681787040743631,Batter_035,1506.79595262659,-3.73651129962491,63,-0.0573506013402136,1.23915052962555
Batter_025,82,0.0933480126226088,-0.364937912240104,0.551633937485321,Batter_035,1516.0362259622,5.50376203599217,82,0.615543151041586,1.13839526292543
Batter_034,135,0.0379179797361667,-0.476316141454369,0.552152100926703,Batter_035,1512.50497132512,1.97250739890387,135,0.358390673288904,0.919531684080455
Batter_012,119,0.0175583341216769,-0.325686589554342,0.360803257797696,Batter_035,1523.43334061595,12.9008766897341,119,1.15421468762578,0.839142323454755
Batter_011,172,-0.0381355174508381,-0.472353429669693,0.396082394768017,Batter_035,1513.50621453957,2.97375061335833,172,0.431303051435138,0.619237065599447
Batter_038,108,-0.0573731941481107,-0.470198898122892,0.355452509826671,Batter_035,1499.27321873698,-11.2592451892344,108,-0.605169962444756,0.543277760663559
Batter_048,78,-0.0992150485408394,-0.480838273768145,0.282408176686466,Batter_035,1511.37823948019,0.845775553981866,78,0.276339981548517,0.378066637360351
Batter_002,138,-0.158735611130003,-0.56491162228176,0.247440400021753,Batter_035,1519.78304110922,9.25057718301173,138,0.888393142831422,0.143051742640401
Batter_046,140,-0.175836000545785,-0.564739510337107,0.213067509245536,Batter_035,1520.30580337889,9.77333945268037,140,0.926461655792513,0.0755314430431021
Batter_023,79,-0.206816847923246,-0.571610290968842,0.15797659512235,Batter_035,1502.7037648999,-7.82869902631569,79,-0.355351261585814,-0.0467953675249542
Batter_003,153,-0.211944576477807,-0.6262543368351,0.202365183879487,Batter_035,1501.59627473248,-8.93618919373125,153,-0.43600073886975,-0.0670420274014836
Batter_030,88,-0.222552433843053,-0.741584535877209,0.296479668191104,Batter_035,1507.44488462017,-3.08757930603906,88,-0.0100941763033646,-0.108926787448281
Batter_013,107,-0.223496497131421,-0.650905185565313,0.20391219130247,Batter_035,1510.00862108931,-0.523842836902077,107,0.176601843411343,-0.112654388880015
Batter_020,113,-0.230877039298621,-0.804539276724368,0.342785198127127,Batter_035,1516.32871137306,5.7962474468502,113,0.63684247828882,-0.141796205841206
Batter_016,176,-0.240710717021838,-0.482278978389203,0.000857544345527595,Batter_035,1511.70537397471,1.17291004850199,176,0.30016251899475,-0.180624144192253
Batter_031,73,-0.251988737741728,-0.628010230636754,0.124032755153298,Batter_035,1494.51059453258,-16.0218693936324,73,-0.951993043936179,-0.225155021200747
Batter_028,159,-0.283971983049814,-0.721511667352863,0.153567701253236,Batter_035,1506.84557211136,-3.6868918148532,159,-0.0537372189123811,-0.3514397655296
Batter_022,76,-0.313778396581358,-0.701044393878413,0.0734876007156967,Batter_035,1498.3257412363,-12.2067226899164,76,-0.67416702211763,-0.469129364440927
Batter_024,63,-0.317853315588932,-0.724485519114133,0.0887788879362686,Batter_035,1487.09617622303,-23.4362877031788,63,-1.49192466466088,-0.485219042022901
Batter_010,205,-0.342075088338638,-0.652868968173729,-0.0312812085035474,Batter_035,1510.65004192014,0.117577993929217,205,0.223311291718491,-0.580857878839592
Batter_014,57,-0.370384020550372,-0.850305967112805,0.109537926012061,Batter_035,1496.84496016969,-13.6875037565214,57,-0.782000231393276,-0.69263472425177
Batter_017,132,-0.373502581861978,-0.78870689346444,0.0417017297404845,Batter_035,1496.79336034808,-13.7391035781295,132,-0.785757825603207,-0.704948256356357
Batter_040,112,-0.427265957241935,-0.809061356594187,-0.0454705578896832,Batter_035,1488.66774178064,-21.8647221455738,112,-1.37748036125541,-0.917231095346357
Batter_021,72,-0.454927169345292,-0.968225868997092,0.0583715303065065,Batter_035,1496.34747404072,-14.1849898854889,72,-0.818228089154635,-1.026450440183
Batter_045,58,-0.45530658876227,-0.902449808760737,-0.00816336876380308,Batter_035,1496.32320385193,-14.2092600742826,58,-0.819995489080508,-1.02794856470429
Batter_036,65,-0.496091854725904,-0.978209792098221,-0.0139739173535872,Batter_035,1494.86657100366,-15.6658929225473,65,-0.926070180543729,-1.18898778492687
