striker_id,balls_faced,unweighted,unweighted_ci_lo,unweighted_ci_hi,reference_batter,weighted,weighted_ci_lo,weighted_ci_hi,diff_weighted_minus_unweighted,abs_diff
Batter_005,53,0.217345084818702,-0.24682511697752,0.681515286614924,Batter_035,0.301272191199206,-0.132366366466,0.734910748864412,0.083927106380504,0.083927106380504
Batter_033,92,0.208575709187441,-0.103533941221508,0.52068535959639,Batter_035,0.28402770615492,-0.00462139066003575,0.572676802969876,0.0754519969674795,0.0754519969674795
Batter_048,78,0.35140626101459,-0.195718267035757,0.898530789064937,Batter_035,0.264309239159936,-0.196270698546613,0.724889176866486,-0.0870970218546533,0.0870970218546533
Batter_002,138,0.291305819617898,-0.309707940988584,0.892319580224379,Batter_035,0.232460268002957,-0.278387286314139,0.743307822320052,-0.0588455516149409,0.0588455516149409
Batter_015,41,0.32025026370857,-0.248077857239176,0.888578384656316,Batter_035,0.21231635802627,-0.245821843407629,0.670454559460168,-0.1079339056823,0.1079339056823
Batter_001,56,-0.0246854345411349,-0.710124824017508,0.660753954935238,Batter_035,0.125575921056226,-0.522766049329202,0.773917891441653,0.150261355597361,0.150261355597361
Batter_007,180,-0.0550039713905574,-0.410454602402546,0.300446659621431,Batter_035,0.0685650170581658,-0.326356189716741,0.463486223833073,0.123568988448723,0.123568988448723
Batter_003,103,0.181458523573425,-0.317284132021798,0.680201179168648,Batter_035,0.06343440690928,-0.463850421462031,0.590719235280591,-0.118024116664145,0.118024116664145
Batter_034,94,0.078501264889662,-0.31943535479578,0.476437884575103,Batter_035,0.00105840234028411,-0.420669731195411,0.422786535875979,-0.0774428625493779,0.0774428625493779
Batter_025,80,0.0750061538319679,-0.368153392413068,0.518165700077004,Batter_035,-0.0161072948599409,-0.503725604060124,0.471511014340242,-0.0911134486919088,0.0911134486919088
Batter_009,144,-0.10541152532791,-0.515936728758644,0.305113678102824,Batter_035,-0.0161460384893772,-0.372545715100373,0.340253638121618,0.0892654868385331,0.0892654868385331
Batter_012,96,0.0603962647697006,-0.341174422000053,0.461966951539454,Batter_035,-0.0262008866598491,-0.399234001253888,0.346832227934189,-0.0865971514295497,0.0865971514295497
Batter_023,62,-0.0116494300080305,-0.468459423750926,0.445160563734865,Batter_035,-0.0934069655998959,-0.62747026424044,0.440656333040648,-0.0817575355918654,0.0817575355918654
Batter_011,131,-0.0235113975883461,-0.484248313359569,0.437225518182876,Batter_035,-0.10066655207924,-0.557812782746565,0.356479678588083,-0.0771551544908944,0.0771551544908944
Batter_047,57,-0.128103729076443,-0.794319745969719,0.538112287816833,Batter_035,-0.123001325758028,-0.680012137178469,0.434009485662413,0.00510240331841488,0.00510240331841488
Batter_046,116,-0.211241546176557,-0.655640925126951,0.233157832773838,Batter_035,-0.158204570640093,-0.659390929065817,0.342981787785632,0.0530369755364639,0.0530369755364639
Batter_013,107,-0.275015149906613,-0.857018741917282,0.306988442104057,Batter_035,-0.221872277833829,-0.81408802463929,0.370343468971633,0.0531428720727839,0.0531428720727839
Batter_016,138,-0.358129099326246,-0.623385983177049,-0.0928722154754432,Batter_035,-0.267030112970358,-0.525884206819012,-0.00817601912170424,0.0910989863558877,0.0910989863558877
Batter_038,59,-0.256691169192975,-0.681115749221682,0.167733410835733,Batter_035,-0.275426712000908,-0.737558449777427,0.186705025775611,-0.0187355428079332,0.0187355428079332
Batter_030,61,-0.352735598683701,-0.920806663029149,0.215335465661746,Batter_035,-0.333017279664164,-0.91958193756854,0.253547378240213,0.0197183190195374,0.0197183190195374
Batter_006,50,-0.310448158754197,-0.761382239859071,0.140485922350676,Batter_035,-0.350712760864386,-0.758870646493186,0.0574451247644142,-0.0402646021101883,0.0402646021101883
Batter_004,86,-0.391683390136484,-0.741467976789954,-0.0418988034830128,Batter_035,-0.354695337635389,-0.672938538573149,-0.0364521366976287,0.0369880525010945,0.0369880525010945
Batter_010,118,-0.608642045354317,-0.961269617298958,-0.256014473409677,Batter_035,-0.4418311101071,-0.883110361774824,-0.00055185843937644,0.166810935247217,0.166810935247217
Batter_020,113,-0.491238617420689,-0.986758461153699,0.00428122631232086,Batter_035,-0.444472711479941,-0.992373489070542,0.103428066110659,0.0467659059407478,0.0467659059407478
Batter_022,76,-0.566225066203709,-1.02547525653005,-0.106974875877364,Batter_035,-0.516720386601922,-0.939095198373914,-0.0943455748299302,0.049504679601787,0.049504679601787
Batter_040,63,-0.617332596915724,-0.937147193561588,-0.29751800026986,Batter_035,-0.565147342575467,-0.969067697521989,-0.161226987628946,0.0521852543402568,0.0521852543402568
Batter_028,83,-0.573442692593079,-1.06014822198222,-0.0867371632039366,Batter_035,-0.56813764036145,-1.09430854947077,-0.0419667312521336,0.00530505223162936,0.00530505223162936
Batter_024,63,-0.579953859250367,-1.06095327327312,-0.0989544452276183,Batter_035,-0.585207528734663,-1.07449892834468,-0.0959161291246506,-0.0052536694842964,0.0052536694842964
Batter_017,71,-0.684802876550614,-1.05161730851802,-0.317988444583204,Batter_035,-0.638993704660256,-0.99016779405843,-0.287819615262083,0.0458091718903576,0.0458091718903576
Batter_027,51,-0.500855473069437,-0.934578724972221,-0.0671322211666532,Batter_035,-0.677499183992297,-1.17075573929804,-0.184242628686554,-0.17664371092286,0.17664371092286
